orgId	expName	expDesc	timeZeroSet	num	nMapped	nPastEnd	nGenic	nUsed	gMed	gMedt0	gMean	cor12	mad12	mad12c	mad12c_t0	opcor	adjcor	gccor	maxFit	expGroup	expDescLong	mutantLibrary	person	dateStarted	setName	seqindex	media	temperature	pH	vessel	aerobic	liquid	shaking	condition_1	units_1	concentration_1	condition_2	units_2	concentration_2	condition_3	units_3	concentration_3	condition_4	units_4	concentration_4	growthPlate	growthWells	ModelSEED Component	BiGG Component
Keio	set1IT003	D-Glucose (C)	6/19/2014 Keio_ML9_set1	3	1831987	0	1245629	1244431	206	590	328.432568	0.31861521	0.154821532	0.665940784	0.648717735	0.207311576	0.012979524	-0.075961176	1.302709917	carbon source	D-Glucose carbon source	Keio_ML9	Kelly	6/19/14	Keio_ML9_set1	IT003	M9 minimal media_noCarbon	37		tube	Aerobic	Liquid	200 rpm	D-Glucose	mM	20												cpd00027	glc__D
Keio	set1IT004	D-Glucose (C)	6/19/2014 Keio_ML9_set1	4	1718470	0	1168204	1167102	195	590	308.023753	0.282256316	0.173606701	0.664522077	0.648717735	0.204590586	0.004467364	-0.07936885	1.260234054	carbon source	D-Glucose carbon source	Keio_ML9	Kelly	6/19/14	Keio_ML9_set1	IT004	M9 minimal media_noCarbon	37		tube	Aerobic	Liquid	200 rpm	D-Glucose	mM	20												cpd00027	glc__D
Keio	set1IT005	D-Fructose (C)	6/19/2014 Keio_ML9_set1	5	1999827	0	1359778	1358459	222	590	358.527052	0.329862837	0.151077031	0.662965013	0.648717735	0.246709662	0.040505198	-0.086099252	1.229130675	carbon source	D-Fructose carbon source	Keio_ML9	Kelly	6/19/14	Keio_ML9_set1	IT005	M9 minimal media_noCarbon	37		tube	Aerobic	Liquid	200 rpm	D-Fructose	mM	20												cpd00082	fru
Keio	set1IT006	D-Fructose (C)	6/19/2014 Keio_ML9_set1	6	2139479	0	1454760	1453365	241	590	383.5748219	0.332834549	0.149882604	0.671637695	0.648717735	0.246292156	0.006986311	-0.07506394	1.237354895	carbon source	D-Fructose carbon source	Keio_ML9	Kelly	6/19/14	Keio_ML9_set1	IT006	M9 minimal media_noCarbon	37		tube	Aerobic	Liquid	200 rpm	D-Fructose	mM	20												cpd00082	fru
Keio	set1IT007	Sucrose (C)	6/19/2014 Keio_ML9_set1	7	1916286	0	1303666	1302442	214	590	343.7429401	0.318911887	0.165868922	0.656538302	0.648717735	0.249341302	0.017284093	-0.086663617	1.312126263	carbon source	Sucrose carbon source	Keio_ML9	Kelly	6/19/14	Keio_ML9_set1	IT007	M9 minimal media_noCarbon	37		tube	Aerobic	Liquid	200 rpm	Sucrose	mM	20												cpd00076	sucr
Keio	set1IT008	Sucrose (C)	6/19/2014 Keio_ML9_set1	8	2040747	0	1386624	1385310	230	590	365.6136184	0.322528058	0.167943347	0.649780141	0.648717735	0.245264875	0.019795418	-0.081012324	1.351570751	carbon source	Sucrose carbon source	Keio_ML9	Kelly	6/19/14	Keio_ML9_set1	IT008	M9 minimal media_noCarbon	37		tube	Aerobic	Liquid	200 rpm	Sucrose	mM	20												cpd00076	sucr
Keio	set1IT009	D-Maltose (C)	6/19/2014 Keio_ML9_set1	9	1754274	0	1191498	1190408	196	590	314.1747163	0.402437739	0.180276339	0.683483894	0.648717735	0.256549266	0.073036809	-0.078257582	1.648139813	carbon source	D-Maltose monohydrate carbon source	Keio_ML9	Kelly	6/19/14	Keio_ML9_set1	IT009	M9 minimal media_noCarbon	37		tube	Aerobic	Liquid	200 rpm	D-Maltose monohydrate	mM	20												cpd00179	malt
Keio	set1IT010	D-Maltose (C)	6/19/2014 Keio_ML9_set1	10	1627007	0	1104817	1103823	179	590	291.3230404	0.389602753	0.17256819	0.678071905	0.648717735	0.264507346	0.074172214	-0.077861827	1.692637591	carbon source	D-Maltose monohydrate carbon source	Keio_ML9	Kelly	6/19/14	Keio_ML9_set1	IT010	M9 minimal media_noCarbon	37		tube	Aerobic	Liquid	200 rpm	D-Maltose monohydrate	mM	20												cpd00179	malt
Keio	set1IT011	D-Xylose (C)	6/19/2014 Keio_ML9_set1	11	1608814	0	1091341	1090284	179	590	287.7498021	0.410369712	0.184558529	0.683671111	0.648717735	0.260111813	0.055298412	-0.082878326	2.162142567	carbon source	D-Xylose carbon source	Keio_ML9	Kelly	6/19/14	Keio_ML9_set1	IT011	M9 minimal media_noCarbon	37		tube	Aerobic	Liquid	200 rpm	D-Xylose	mM	20												cpd00154	xyl__D
Keio	set1IT012	D-Xylose (C)	6/19/2014 Keio_ML9_set1	12	1926399	0	1305198	1303989	215	590	344.1512272	0.460841603	0.166432233	0.673851476	0.648717735	0.292640254	0.09963323	-0.084440793	1.958697505	carbon source	D-Xylose carbon source	Keio_ML9	Kelly	6/19/14	Keio_ML9_set1	IT012	M9 minimal media_noCarbon	37		tube	Aerobic	Liquid	200 rpm	D-Xylose	mM	20												cpd00154	xyl__D
Keio	set1IT013	D-Galactose (C)	6/19/2014 Keio_ML9_set1	13	1693864	0	1151047	1149905	189	590	303.4850884	0.306753401	0.173885854	0.65425379	0.648717735	0.230458551	0.080024155	-0.076328534	2.993316431	carbon source	D-Galactose carbon source	Keio_ML9	Kelly	6/19/14	Keio_ML9_set1	IT013	M9 minimal media_noCarbon	37		tube	Aerobic	Liquid	200 rpm	D-Galactose	mM	20												cpd00108	gal
Keio	set1IT014	D-Galactose (C)	6/19/2014 Keio_ML9_set1	14	1639054	0	1113627	1112555	183	590	293.6276062	0.280316662	0.177256051	0.670814049	0.648717735	0.189547468	0.022984722	-0.080173824	3.493662017	carbon source	D-Galactose carbon source	Keio_ML9	Kelly	6/19/14	Keio_ML9_set1	IT014	M9 minimal media_noCarbon	37		tube	Aerobic	Liquid	200 rpm	D-Galactose	mM	20												cpd00108	gal
Keio	set1IT015	D-Ribose (C)	6/19/2014 Keio_ML9_set1	15	1640776	0	1115769	1114649	177	590	294.1802586	0.442754074	0.201474014	0.690659477	0.648717735	0.282808475	0.071911588	-0.079422557	5.894650192	carbon source	D-Ribose carbon source	Keio_ML9	Kelly	6/19/14	Keio_ML9_set1	IT015	M9 minimal media_noCarbon	37		tube	Aerobic	Liquid	200 rpm	D-Ribose	mM	20												cpd00105	rib__D
Keio	set1IT016	D-Ribose (C)	6/19/2014 Keio_ML9_set1	16	1840899	0	1251392	1250124	202	590	329.9350752	0.447667855	0.199758635	0.683426983	0.648717735	0.311731251	0.06443009	-0.079833799	5.916178823	carbon source	D-Ribose carbon source	Keio_ML9	Kelly	6/19/14	Keio_ML9_set1	IT016	M9 minimal media_noCarbon	37		tube	Aerobic	Liquid	200 rpm	D-Ribose	mM	20												cpd00105	rib__D
Keio	set1IT017	L-Fucose (C)	6/19/2014 Keio_ML9_set1	17	1695199	0	1153353	1152197	190	590	304.0899974	0.384185818	0.191963686	0.678071905	0.648717735	0.265687708	0.04241221	-0.076049566	2.4080554	carbon source	L-Fucose carbon source	Keio_ML9	Kelly	6/19/14	Keio_ML9_set1	IT017	M9 minimal media_noCarbon	37		tube	Aerobic	Liquid	200 rpm	L-Fucose	mM	20												cpd00751	fuc__L
Keio	set1IT018	L-Fucose (C)	6/19/2014 Keio_ML9_set1	18	1701212	0	1155963	1154834	192	590	304.7859594	0.392468188	0.180685256	0.669175505	0.648717735	0.281958723	0.059628707	-0.078602296	2.625957677	carbon source	L-Fucose carbon source	Keio_ML9	Kelly	6/19/14	Keio_ML9_set1	IT018	M9 minimal media_noCarbon	37		tube	Aerobic	Liquid	200 rpm	L-Fucose	mM	20												cpd00751	fuc__L
Keio	set1IT019	a-Ketoglutaric (C)	6/19/2014 Keio_ML9_set1	19	1743333	0	1183647	1181751	166	590	311.8899446	0.428115104	0.246773307	0.746738669	0.648717735	0.282223622	0.017077873	-0.068828514	10.0960708	carbon source	a-Ketoglutaric acid disodium salt hydrate carbon source	Keio_ML9	Kelly	6/19/14	Keio_ML9_set1	IT019	M9 minimal media_noCarbon	37		tube	Aerobic	Liquid	200 rpm	a-Ketoglutaric acid disodium salt hydrate	mM	20												cpd00024	akg
Keio	set1IT020	a-Ketoglutaric (C)	6/19/2014 Keio_ML9_set1	20	1777777	0	1207969	1205932	164	590	318.2718395	0.431306951	0.245266048	0.741094362	0.648717735	0.29176667	0.03706917	-0.064256813	10.49253614	carbon source	a-Ketoglutaric acid disodium salt hydrate carbon source	Keio_ML9	Kelly	6/19/14	Keio_ML9_set1	IT020	M9 minimal media_noCarbon	37		tube	Aerobic	Liquid	200 rpm	a-Ketoglutaric acid disodium salt hydrate	mM	20												cpd00024	akg
Keio	set1IT021	D-Glucuronic Acid (C)	6/19/2014 Keio_ML9_set1	21	1784382	0	1214801	1213563	199	590	320.2858274	0.334967551	0.177810958	0.673682784	0.648717735	0.238750267	0.04933617	-0.062805065	3.521206426	carbon source	D-Glucuronic Acid carbon source	Keio_ML9	Kelly	6/19/14	Keio_ML9_set1	IT021	M9 minimal media_noCarbon	37		tube	Aerobic	Liquid	200 rpm	D-Glucuronic Acid	mM	20												cpd00164	glcur
